Sno,Temperature,AverageVoltage,Compensated_Voltage,TDS without Comp,TDS_Sensor,Meter-1 (Sachin Sir),Meter-2 (Aftab Sir),TDS _Meter,,SPCRC ( 130),Washroom Water(324),Himalaya (70),Distilled,Theoritical Value,Temp
1,50,0.201465,0.034249107,82,55,81,94,89,14.53503895,,,1,0,70,
3,45,0.178095,0.035619,73,53,92,94,88.6,15.11039537,,,,,,
4,42,0.163597,0.037181136,67,51,87,89,88.6,15.76594103,,,,,,
5,40,0.155311,0.03882775,64,50,88,89,88.5,16.45630073,,,,,,
6,38,0.147473,0.040964722,61,49,87,89,88,17.35127704,,,,,,
7,35,0.136996,0.045665333,57,48,85,86,85.5,19.31607733,,,,,,
8,32,0.124908,0.052045,52,46,81,83,82,21.97431392,,,,,,
9,30,0.119267,0.0596335,49,45,81,78,79.5,25.12379138,,,,,,
10,28,0.114432,0.07152,47,45,77,79,78,30.03029503,,,,,,
11,25,0.107179,0.107179,45,45,76,78,77,44.5596597,,,,,,
12,50,0.170842,0.028473667,70,47,78,76,77,12.10433932,,,,,,
13,48,0.16359,0.0292125,67,47,80,82,81,12.41574406,,,,,,
14,45,0.149084,0.0298168,61,44,79,81,80,12.67034636,,,,,,
15,42,0.137082,0.031155,57,43,76,68,72,13.23383683,,,,,,
16,40,0.128132,0.032033,53,41,67,72,69.5,13.60330901,,,,,,
17,38,0.120073,0.033353611,50,40,67,73,70,14.15868413,,,,,,
18,35,0.108791,0.036263667,45,38,73,67,70,15.3809991,,,,,,
19,32,0.100733,0.041972083,42,37,67,69,68,17.7727862,,,,,,
20,30,0.091062,0.045531,38,35,66,66,66,19.26000064,,,,,,
21,28,0.088645,0.055403125,37,35,67,67,67,23.36970545,,,,,,
22,25,0.077363,0.077363,32,32,60,66,63,32.43035399,,,,,,
23,50,0.12652,0.021086667,52,35,60,72,66,8.983490292,,,,,,
24,48,0.11685,0.020866071,48,34,57,58,57.5,8.890086729,,,,,,
25,45,0.105568,0.0211136,44,32,65,58,61.5,8.994893473,,,,,,
26,42,0.096703,0.021977955,40,30,57,54,55.5,9.360753329,,,,,,
27,40,0.090256,0.022564,38,29,55,57,56,9.608706826,,,,,,
28,38,0.083004,0.023056667,35,28,65,58,61.5,9.81708654,,,,,,
29,35,0.074945,0.024981667,31,25,61,58,61,10.63071662,,,,,,
30,32,0.068498,0.028540833,29,25,57,60,58.5,12.13265436,,,,,,
31,30,0.0344,0.0172,15,25,58,53,55.5,7.336046639,,,,,,
32,28,0.06044,0.037775,25,24,57,55,56,16.0149997,,,,,,
33,25,0.051575,0.051575,22,22,49,54,51.5,21.77880515,,,,,,
34,,,0,0,,,,0,0,,,,,,
35,,,0,0,,,,0,0,,,,,,
36,,,0,0,,,,0,0,,,,,,
37,,,0,0,,,,0,,,,,,,
38,,,0,0,,,,0,,,,,,,
39,,,0,0,,,,0,,,,,,,
40,,,0,0,,,,0,,,,,,,
41,,,0,0,,,,0,,,,,,,
42,,,0,0,,,,0,,,,,,,
43,,,0,0,,,,0,,,,,,,
44,,,0,0,,,,0,,,,,,,
45,,,0,,,,,0,,,,,,,
46,,,0,,,,,0,,,,,,,
47,,,0,,,,,0,,,,,,,
48,,,0,,,,,0,,,,,,,
49,,,0,,,,,0,,,,,,,
50,,,0,,,,,0,,,,,,,
51,,,0,,,,,0,,,,,,,
52,,,0,,,,,0,,,,,,,
53,,,0,,,,,0,,,,,,,
54,,,0,,,,,0,,,,,,,
55,,,0,,,,,0,,,,,,,
56,,,0,,,,,0,,,,,,,
57,,,0,,,,,0,,,,,,,
58,,,0,,,,,0,,,,,,,
59,,,0,,,,,0,,,,,,,
60,,,0,,,,,0,,,,,,,
61,,,0,,,,,0,,,,,,,
62,,,0,,,,,0,,,,,,,
63,,,0,,,,,0,,,,,,,
64,,,0,,,,,0,,,,,,,
65,,,0,,,,,0,,,,,,,
66,,,0,,,,,0,,,,,,,
67,,,0,,,,,0,,,,,,,
68,,,0,,,,,0,,,,,,,
69,,,0,,,,,0,,,,,,,
70,,,0,,,,,0,,,,,,,
71,,,0,,,,,0,,,,,,,
72,,,0,,,,,0,,,,,,,
73,,,0,,,,,0,,,,,,,
74,,,0,,,,,0,,,,,,,
75,,,0,,,,,0,,,,,,,
76,,,0,,,,,0,,,,,,,
77,,,0,,,,,0,,,,,,,
78,,,0,,,,,0,,,,,,,
79,,,0,,,,,0,,,,,,,
80,,,0,,,,,0,,,,,,,
81,,,0,,,,,0,,,,,,,
82,,,0,,,,,0,,,,,,,
83,,,0,,,,,0,,,,,,,
84,,,0,,,,,0,,,,,,,
85,,,0,,,,,0,,,,,,,
86,,,0,,,,,0,,,,,,,
87,,,0,,,,,0,,,,,,,
88,,,0,,,,,0,,,,,,,
89,,,0,,,,,0,,,,,,,
90,,,0,,,,,0,,,,,,,
91,,,0,,,,,0,,,,,,,
92,,,0,,,,,0,,,,,,,
93,,,0,,,,,0,,,,,,,
94,,,0,,,,,0,,,,,,,
95,,,0,,,,,0,,,,,,,
96,,,0,,,,,0,,,,,,,
97,,,0,,,,,0,,,,,,,
98,,,0,,,,,0,,,,,,,
99,,,0,,,,,0,,,,,,,
100,,,0,,,,,0,,,,,,,
101,,,0,,,,,0,,,,,,,
102,,,0,,,,,0,,,,,,,
103,,,0,,,,,0,,,,,,,
104,,,0,,,,,0,,,,,,,
105,,,0,,,,,0,,,,,,,
106,,,0,,,,,0,,,,,,,
107,,,0,,,,,0,,,,,,,
108,,,0,,,,,0,,,,,,,
109,,,0,,,,,0,,,,,,,
110,,,0,,,,,0,,,,,,,
111,,,,,,,,0,,,,,,,
112,,,,,,,,0,,,,,,,
113,,,,,,,,0,,,,,,,
114,,,,,,,,0,,,,,,,
115,,,,,,,,0,,,,,,,
116,,,,,,,,0,,,,,,,
117,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,
